blueWins	blueWardsPlaced	blueWardsDestroyed	blueFirstBlood	blueKills	blueEliteMonsters	blueDragons	blueHeralds	blueTowersDestroyed	blueTotalGold	blueTotalExperience	blueTotalMinionsKilled	blueTotalJungleMinionsKilled	redWardsPlaced	redWardsDestroyed	redFirstBlood	redKills	redEliteMonsters	redDragons	redHeralds	redTowersDestroyed	redTotalGold	redTotalExperience	redTotalMinionsKilled	redTotalJungleMinionsKilled
0	18	4	1	3	1	0	1	0	15888	19090	252	60	39	4	0	4	1	1	0	0	15872	18657	243	49
0	41	0	0	1	0	0	0	0	12925	15498	187	32	12	1	1	10	1	0	1	1	19311	19708	247	56
1	14	4	1	11	0	0	0	0	19250	19703	251	48	15	3	0	2	0	0	0	0	14154	16393	196	53
1	19	1	1	8	1	1	0	1	18355	18790	218	54	13	5	0	4	0	0	0	0	15599	17107	200	57
1	15	2	0	2	1	0	1	0	13978	16429	180	44	12	4	1	3	0	0	0	0	14955	17454	218	56
0	16	1	0	5	0	0	0	0	15851	17366	206	56	38	6	1	5	0	0	0	0	16659	19021	241	44
0	14	0	0	7	0	0	0	0	16474	17408	209	50	22	4	1	9	1	1	0	0	18033	17815	206	53
1	18	0	0	6	0	0	0	0	16590	18284	213	49	12	1	1	8	0	0	0	0	16046	18209	182	44
1	22	4	1	5	2	1	1	0	15737	18634	217	53	16	3	0	2	0	0	0	0	14356	17617	212	60
1	37	2	1	5	0	0	0	0	16990	19634	248	54	15	1	0	3	1	1	0	0	14959	18185	210	68
0	14	4	0	3	1	1	0	0	15297	19210	246	56	20	2	1	3	0	0	0	0	15166	18840	227	64
0	16	2	0	4	1	0	1	0	15651	17696	224	53	30	2	1	10	1	1	0	0	18350	20445	201	54
0	17	0	1	5	1	1	0	0	15587	16746	181	63	14	0	0	7	0	0	0	0	17259	19444	218	76
1	19	3	1	10	1	1	0	0	17777	18131	213	42	18	4	0	6	0	0	0	0	16576	17815	234	44
1	29	3	1	7	2	1	1	0	16426	18407	222	55	14	4	0	5	0	0	0	0	16534	18348	247	44
0	12	0	0	10	0	0	0	1	20278	19575	236	58	20	1	1	7	1	1	0	0	15645	17306	182	45
0	18	4	0	2	0	0	0	0	13791	16437	191	62	18	3	1	7	1	1	0	0	16053	17828	218	48
0	24	3	0	6	0	0	0	0	16505	17667	208	70	17	2	1	7	1	1	0	0	16554	17167	207	45
1	18	2	1	6	1	1	0	0	17277	19610	229	54	36	3	0	4	1	0	1	0	15590	18521	232	56
1	122	3	1	9	2	1	1	0	18269	19659	229	68	14	3	0	1	0	0	0	0	14336	16737	233	40
0	12	4	0	4	1	1	0	0	14166	15959	203	41	16	2	1	10	0	0	0	0	18227	20356	224	72
0	52	2	0	6	0	0	0	0	15456	16280	188	42	15	1	1	12	1	0	1	1	20376	19560	240	62
0	19	2	0	4	0	0	0	0	15180	17773	210	52	11	4	1	5	0	0	0	0	16885	19612	227	62
0	32	4	1	7	1	1	0	0	16179	16814	212	46	24	5	0	8	1	0	1	0	16074	18361	200	42
1	14	0	0	3	0	0	0	0	16026	18490	233	57	11	1	1	5	1	1	0	0	16580	17969	234	44
0	19	5	1	4	0	0	0	0	14850	17145	198	53	18	4	0	5	1	1	0	0	15887	18722	241	44
0	16	2	1	9	1	0	1	0	17347	18573	202	62	13	5	0	8	1	1	0	1	18491	18093	199	45
1	36	0	1	5	0	0	0	0	15887	17591	200	32	12	1	0	4	1	1	0	0	14714	16638	186	63
0	18	2	1	8	0	0	0	0	17399	19449	232	44	13	3	0	2	1	1	0	0	14205	16915	208	51
0	13	3	1	2	1	1	0	0	13828	16629	204	38	12	0	0	7	0	0	0	0	16450	17765	192	36
1	15	3	1	6	1	1	0	0	16645	19110	242	52	15	2	0	4	1	0	1	0	15494	18640	205	50
1	50	4	1	6	2	1	1	0	16248	17200	200	52	48	2	0	4	0	0	0	0	14785	15710	169	52
0	14	2	0	4	0	0	0	0	15310	18337	221	52	15	2	1	6	2	1	1	0	16348	19644	226	66
1	17	2	1	8	1	0	1	0	16784	17242	212	40	13	4	0	4	0	0	0	0	15360	16182	180	61
1	18	1	0	13	1	1	0	0	19032	18951	232	44	12	4	1	9	0	0	0	0	18505	18230	216	63
0	17	5	0	7	0	0	0	0	17518	18342	242	46	52	4	1	6	2	1	1	0	15711	17410	198	60
0	43	6	1	11	1	0	1	0	18976	20326	256	43	16	0	0	4	1	1	0	0	16120	19064	210	72
0	12	1	0	6	1	1	0	0	16143	16617	204	56	13	1	1	6	1	0	1	0	17107	19071	241	56
0	20	2	0	7	1	0	1	0	15868	17111	199	51	42	7	1	8	1	1	0	0	16046	16587	178	47
1	18	3	0	9	1	1	0	0	17977	18162	235	41	16	0	1	8	0	0	0	0	17272	17970	207	44
1	16	0	0	10	1	1	0	0	18138	18159	208	55	15	1	1	10	0	0	0	0	17230	17853	210	44
1	14	2	0	7	2	1	1	0	18025	19864	261	68	25	0	1	2	0	0	0	0	14467	16621	220	56
0	12	6	0	1	0	0	0	0	14625	17769	241	56	53	1	1	6	1	1	0	0	15924	17818	218	47
1	16	4	0	5	1	1	0	0	15752	17113	201	48	19	2	1	8	0	0	0	0	17515	18977	248	40
1	15	0	0	10	0	0	0	0	18480	19565	232	64	12	1	1	4	0	0	0	0	15933	17376	247	41
0	13	3	0	3	1	1	0	0	14995	16206	210	53	20	3	1	10	1	0	1	0	18680	19325	200	67
0	83	13	1	7	0	0	0	0	15655	15827	194	25	35	2	0	11	1	1	0	0	19344	20509	216	59
0	17	4	1	3	0	0	0	0	15562	18590	236	73	33	4	0	5	2	1	1	0	16326	17787	233	46
1	16	3	1	9	0	0	0	0	17139	19137	223	51	14	2	0	2	1	1	0	0	14102	16443	213	41
1	14	4	1	7	0	0	0	1	19229	18820	257	62	19	3	0	7	1	1	0	0	15684	16658	145	36
0	14	2	0	7	1	1	0	0	16972	19060	209	48	16	4	1	7	0	0	0	0	18003	19454	255	60
0	17	1	0	5	0	0	0	0	16249	18383	213	59	16	2	1	10	1	1	0	0	18045	19132	214	44
1	16	6	1	5	0	0	0	0	16415	17645	247	37	17	2	0	4	1	1	0	0	14789	16898	203	51
1	40	1	0	6	1	0	1	0	18012	19837	250	70	12	1	1	8	1	1	0	0	17180	18507	186	48
1	16	0	0	11	2	1	1	0	19294	20668	242	52	14	2	1	6	0	0	0	0	16544	18021	203	52
0	16	1	0	5	1	0	1	0	15383	17243	227	28	11	3	1	8	0	0	0	0	16907	18070	186	39
0	16	4	1	6	1	1	0	0	15777	17401	224	53	20	2	0	8	0	0	0	0	17147	18276	210	36
0	14	3	0	4	0	0	0	0	14805	17323	209	43	17	3	1	6	1	1	0	0	16311	17735	231	44
0	13	5	0	6	0	0	0	0	15244	16787	199	52	17	4	1	7	2	1	1	0	16345	17505	212	40
0	18	4	0	8	1	0	1	0	17574	19195	252	44	15	4	1	3	1	1	0	0	14800	16988	225	47
0	24	0	0	8	0	0	0	0	16655	17831	222	44	13	3	1	11	2	1	1	0	18461	18419	215	55
0	12	5	0	6	1	1	0	0	16855	18370	248	44	16	5	1	4	1	0	1	0	15590	17122	207	52
1	17	3	0	6	0	0	0	0	15786	16995	200	46	16	3	1	14	1	1	0	0	20229	21135	227	66
0	19	3	0	3	0	0	0	0	15143	19080	233	59	16	4	1	5	1	1	0	0	16070	18113	216	48
1	12	3	1	9	0	0	0	0	17309	18904	221	36	14	2	0	5	2	1	1	0	15884	18176	208	44
1	14	3	0	6	1	1	0	0	16416	19684	211	60	14	0	1	4	0	0	0	0	15239	18523	204	71
1	19	2	1	2	1	1	0	0	15222	17812	231	64	17	5	0	7	1	0	1	0	16808	17402	211	64
0	16	2	0	5	2	1	1	0	15526	17629	232	44	15	2	1	10	0	0	0	0	18422	19710	236	76
1	18	1	0	12	0	0	0	0	17597	15938	143	48	12	3	1	9	0	0	0	0	16692	14884	181	40
0	17	1	1	9	0	0	0	0	16834	14815	187	29	31	1	0	17	0	0	0	0	20721	18207	211	40
1	32	2	1	12	1	1	0	0	19058	19575	202	47	16	2	0	6	0	0	0	0	15645	16591	210	39
0	16	2	1	7	2	1	1	0	16806	18034	228	48	34	2	0	9	0	0	0	0	17062	19614	230	52
1	19	5	1	7	0	0	0	0	16643	17554	227	44	17	7	0	10	0	0	0	0	18463	18966	231	45
1	14	1	1	6	1	1	0	0	16189	17737	224	39	102	1	0	4	0	0	0	0	15564	18271	217	48
0	12	2	0	2	0	0	0	0	14095	17286	196	60	14	2	1	6	1	1	0	0	17723	19295	266	60
0	30	6	1	5	1	0	1	0	16804	17544	217	67	16	4	0	5	1	1	0	0	16035	17064	233	54
0	18	5	0	8	1	1	0	0	17305	18192	229	43	18	3	1	8	1	0	1	0	17881	18874	198	66
0	14	16	0	3	0	0	0	0	14539	16806	213	40	42	2	1	9	1	1	0	0	18439	20356	255	51
1	14	2	0	9	1	1	0	0	17530	18299	192	43	19	2	1	8	1	0	1	0	17537	18530	209	60
1	13	6	1	10	0	0	0	0	18431	19562	207	44	14	3	0	7	1	1	0	0	16748	18129	231	56
0	16	4	0	3	0	0	0	0	14032	16550	193	40	17	8	1	10	1	1	0	0	18814	19958	245	51
1	38	3	1	9	1	1	0	0	17869	17810	205	40	14	1	0	7	0	0	0	0	17233	18024	215	48
1	40	1	0	7	1	1	0	0	15974	16174	183	37	13	4	1	14	0	0	0	0	19395	18798	219	49
1	18	5	0	5	1	1	0	0	16108	18920	240	61	39	3	1	3	0	0	0	0	15132	17321	230	42
0	40	3	0	6	0	0	0	0	16302	17297	212	52	17	4	1	7	1	0	1	0	16513	18602	211	46
1	18	5	0	7	0	0	0	0	16750	17603	215	52	35	3	1	5	0	0	0	0	15529	17141	197	48
1	17	5	0	7	0	0	0	0	16506	18669	226	36	35	3	1	1	1	1	0	0	14469	17378	217	80
1	15	5	1	6	1	1	0	0	16389	17937	241	36	38	2	0	3	0	0	0	0	15572	18031	229	58
1	18	2	1	4	0	0	0	0	15760	18295	215	48	15	1	0	4	1	1	0	0	15897	18646	227	72
1	43	6	1	4	1	1	0	0	15176	16820	226	33	23	9	0	7	0	0	0	0	16715	18317	205	52
0	13	5	0	5	0	0	0	0	15196	16908	191	48	62	3	1	7	1	1	0	0	16903	18194	216	51
1	13	1	0	6	1	1	0	0	16250	17537	228	55	17	1	1	9	0	0	0	0	16806	17772	143	60
1	20	1	1	9	1	1	0	0	16541	16779	199	37	12	3	0	7	1	0	1	0	16687	17496	225	44
1	15	1	1	12	1	0	1	0	18657	19205	227	37	15	2	0	4	1	1	0	0	14574	16321	191	52
1	17	1	0	5	0	0	0	0	16873	19105	223	64	38	2	1	5	1	1	0	0	15484	17687	226	49
0	28	4	0	3	1	1	0	0	14383	15898	211	55	16	2	1	4	1	0	1	0	15273	16426	208	44
0	12	3	1	4	0	0	0	0	14420	15196	192	32	18	3	0	9	0	0	0	0	16939	16291	194	46
0	87	1	0	4	0	0	0	0	14720	15031	183	30	10	1	1	15	0	0	0	0	19160	19051	201	51
1	15	3	1	7	0	0	0	0	17406	19761	251	64	17	1	0	6	2	1	1	0	16266	19056	190	56
0	15	4	1	5	0	0	0	0	15210	15974	172	40	13	5	0	7	0	0	0	0	16866	17806	219	51
1	23	3	0	10	0	0	0	0	17272	15840	192	40	37	2	1	5	2	1	1	0	15101	16101	199	40
1	18	1	1	12	0	0	0	0	19358	19257	206	60	14	2	0	4	0	0	0	0	15517	16773	216	56
1	16	3	0	4	1	0	1	1	16855	16360	232	40	37	1	1	11	1	1	0	0	17740	18532	216	36
0	16	2	0	3	2	1	1	0	15209	16256	191	60	17	4	1	8	0	0	0	0	17961	18542	241	52
1	17	3	1	13	0	0	0	0	19542	17935	207	31	17	4	0	9	0	0	0	0	17461	17469	200	44
0	15	5	1	4	0	0	0	0	15267	17321	232	53	16	2	0	3	0	0	0	0	14814	17340	209	51
0	15	2	1	3	1	1	0	0	15243	17194	224	56	40	4	0	1	1	0	1	0	14413	18196	220	56
0	21	2	0	8	0	0	0	0	16214	17234	203	48	17	4	1	8	0	0	0	0	16120	17679	168	48
0	70	2	0	8	2	1	1	0	15976	18227	178	56	13	1	1	6	0	0	0	0	16698	17336	232	39
0	18	1	0	6	1	0	1	0	16557	17632	230	47	38	5	1	7	1	1	0	0	18048	18431	222	53
0	10	1	0	6	0	0	0	0	16142	16953	198	59	13	1	1	14	2	1	1	0	19251	18698	201	37
0	15	4	1	7	0	0	0	0	17984	18708	230	56	16	4	0	11	1	1	0	0	17447	19185	178	51
1	15	9	0	13	2	1	1	0	20038	21588	222	71	39	1	1	5	0	0	0	0	15959	16020	208	40
1	91	3	0	10	0	0	0	1	19571	18463	213	50	17	1	1	5	0	0	0	0	15565	16382	210	47
0	18	2	1	3	0	0	0	0	14557	15128	200	48	16	0	0	10	2	1	1	0	18139	20523	246	63
1	16	4	0	6	0	0	0	0	16029	18567	205	56	19	3	1	6	1	1	0	0	16384	18334	224	48
1	18	11	1	7	0	0	0	1	18053	16741	207	46	41	1	0	6	0	0	0	0	14589	15747	178	22
1	16	2	1	9	1	1	0	0	18098	18905	225	60	12	1	0	5	1	0	1	0	15881	16722	229	32
1	13	1	1	8	2	1	1	0	18343	19519	235	59	13	3	0	3	0	0	0	0	15294	18008	234	54
1	13	2	0	5	1	1	0	0	15596	17998	198	44	25	2	1	6	0	0	0	0	15901	18472	199	40
0	54	3	0	4	1	1	0	0	15812	17882	229	53	15	3	1	2	1	0	1	0	14487	17403	218	54
1	17	2	1	6	0	0	0	0	15947	16477	221	44	14	4	0	6	1	1	0	0	16000	16390	203	52
0	35	1	0	5	0	0	0	0	14997	16532	196	40	16	4	1	9	1	1	0	0	17862	17973	237	32
0	10	1	1	7	0	0	0	0	16463	17576	215	42	33	0	0	7	1	1	0	0	16556	18137	217	40
0	19	5	1	6	0	0	0	0	16072	17054	225	46	15	3	0	7	1	1	0	0	16492	18239	212	50
1	22	6	1	7	1	1	0	0	19140	19579	253	64	60	6	0	3	1	0	1	0	14132	17224	179	45
0	19	2	1	4	0	0	0	0	14547	15883	188	53	19	3	0	6	2	1	1	0	16621	17678	196	56
1	14	5	0	5	1	0	1	0	15644	17717	188	63	20	3	1	4	0	0	0	0	15647	16704	190	48
0	15	2	1	5	0	0	0	0	15734	17911	213	47	21	3	0	5	2	1	1	0	16571	18571	249	47
1	38	2	1	5	1	1	0	0	16794	17320	229	39	37	4	0	5	1	0	1	0	16284	18067	216	55
0	16	3	0	6	1	1	0	0	15930	17257	200	43	14	4	1	11	0	0	0	0	19479	19664	214	60
1	17	4	0	6	0	0	0	0	16936	18646	240	56	56	2	1	6	1	1	0	0	16664	18287	199	68
1	18	2	1	9	0	0	0	0	17941	19379	230	51	45	3	0	5	0	0	0	0	15754	17190	206	52
0	19	6	0	2	0	0	0	0	13698	15671	222	33	18	7	1	8	1	0	1	1	18605	18227	242	40
1	14	3	1	5	1	1	0	0	15943	19262	238	64	16	1	0	4	0	0	0	0	15880	18614	210	64
1	17	0	0	4	1	0	1	0	15891	18304	222	68	15	2	1	8	1	1	0	0	18023	18788	230	47
0	12	4	0	5	1	0	1	0	16216	19002	211	71	15	2	1	6	1	1	0	0	17192	19966	222	69
0	86	4	1	3	0	0	0	0	14754	17158	186	62	36	6	0	5	1	1	0	0	16096	19124	218	54
1	16	1	1	8	1	1	0	0	16909	18318	229	40	14	3	0	2	0	0	0	0	14605	15786	208	44
1	15	6	0	10	0	0	0	0	18858	19691	218	70	83	3	1	2	1	1	0	0	14639	16312	219	56
0	22	7	1	6	0	0	0	0	15952	17112	180	45	46	6	0	7	0	0	0	0	18001	19452	243	46
0	16	4	0	1	0	0	0	0	13286	15085	187	48	20	4	1	5	1	1	0	0	17465	18908	236	67
0	17	7	0	6	0	0	0	0	16812	18466	269	40	19	5	1	6	1	1	0	0	16878	19539	245	56
1	16	3	0	9	2	1	1	0	17906	18001	178	60	14	1	1	7	0	0	0	0	17396	17859	215	56
0	15	3	1	4	1	0	1	0	16408	19181	263	53	15	2	0	3	1	1	0	0	13817	17614	208	35
0	14	1	1	4	0	0	0	0	15056	16369	198	46	13	1	0	12	1	1	0	1	18828	19403	177	53
0	25	1	1	6	1	1	0	0	17831	18269	240	43	17	2	0	6	0	0	0	0	16866	19147	233	51
0	11	1	0	1	0	0	0	0	13738	16678	223	34	14	2	1	5	2	1	1	0	17206	18836	259	70
1	25	5	1	14	0	0	0	0	20317	20330	212	54	13	4	0	3	0	0	0	0	14164	16414	196	45
0	15	0	0	0	0	0	0	0	14091	16184	233	60	56	2	1	5	1	1	0	0	16307	18914	229	60
0	17	4	0	6	1	1	0	0	16036	16916	191	39	19	6	1	11	0	0	0	0	18344	18683	206	28
1	17	4	1	6	1	0	1	0	17052	17392	210	54	14	2	0	6	1	1	0	0	15135	17571	194	51
0	14	4	0	4	0	0	0	0	16354	18778	268	52	13	4	1	7	1	1	0	0	18030	20537	244	84
1	18	1	1	10	1	1	0	0	18297	19476	242	48	13	0	0	5	0	0	0	0	15588	18217	214	60
0	17	5	0	6	0	0	0	0	15748	16524	222	36	40	6	1	8	1	1	0	0	17052	17076	216	46
1	42	4	1	8	1	1	0	0	17886	20099	229	59	14	1	0	5	0	0	0	0	16062	18690	222	60
0	17	7	0	11	0	0	0	0	17069	16703	174	38	17	5	1	8	2	1	1	0	16840	16748	212	44
1	15	2	0	4	1	0	1	0	16631	19310	252	57	29	2	1	4	0	0	0	0	15124	17643	214	56
0	12	3	0	1	1	1	0	0	14766	18364	231	65	17	3	1	5	0	0	0	0	16553	19499	235	61
0	14	2	0	8	0	0	0	0	17113	19396	234	49	15	2	1	7	0	0	0	0	16298	17999	182	52
0	13	2	0	5	1	1	0	0	15120	16713	167	48	15	1	1	14	0	0	0	0	19887	21774	238	44
0	13	3	0	4	0	0	0	0	15339	16302	221	43	15	4	1	6	1	1	0	0	17200	18834	262	64
0	68	0	0	1	1	1	0	0	13438	14164	174	53	15	4	1	14	0	0	0	1	21093	18649	234	29
1	20	1	0	4	0	0	0	0	15582	17281	212	56	12	6	1	9	0	0	0	0	17640	19332	224	54
1	16	3	0	5	1	1	0	0	15441	17550	201	52	18	1	1	5	0	0	0	0	16016	17758	213	64
0	12	2	1	4	1	0	1	0	16002	18467	245	61	15	0	0	2	0	0	0	0	14237	17766	212	58
0	13	5	1	5	1	0	1	0	16009	18033	220	40	15	2	0	5	1	1	0	0	15469	17764	185	54
1	16	3	0	12	0	0	0	0	18106	16668	186	48	17	4	1	9	1	1	0	0	17244	17110	204	48
1	35	3	1	6	1	1	0	0	16501	18428	221	44	15	1	0	2	0	0	0	0	13740	16769	201	40
0	14	2	0	3	0	0	0	0	15505	17721	227	61	84	4	1	8	1	1	0	0	16754	18574	214	44
1	35	2	0	5	0	0	0	0	16195	19145	244	60	17	4	1	5	1	1	0	0	16270	18490	217	52
1	18	3	1	14	1	1	0	0	20294	18459	230	48	17	1	0	5	0	0	0	0	14489	13682	178	28
0	22	4	0	5	1	0	1	0	15475	18145	198	59	13	5	1	7	1	1	0	0	16285	18450	212	52
0	124	3	1	5	1	0	1	0	16243	18154	225	51	17	4	0	4	0	0	0	0	15209	17448	227	47
1	18	1	1	3	0	0	0	0	15065	17137	231	50	17	8	0	7	1	0	1	0	17660	19993	260	51
1	22	5	0	1	0	0	0	0	14359	17258	228	55	16	1	1	2	1	1	0	0	14693	17331	223	48
1	13	3	1	11	2	1	1	1	19377	20008	233	44	15	0	0	4	0	0	0	0	15571	17847	231	44
0	34	3	0	2	0	0	0	0	14135	17185	220	37	13	2	1	7	0	0	0	0	16846	19732	230	58
1	24	1	1	8	0	0	0	0	17448	18315	242	48	17	1	0	4	0	0	0	0	14897	16561	195	46
0	50	12	1	6	1	1	0	0	15958	17693	213	48	37	3	0	3	0	0	0	0	15892	18139	254	60
0	16	3	0	10	1	1	0	0	18287	18402	213	52	36	1	1	5	0	0	0	0	16045	17675	225	47
0	13	2	0	2	1	0	1	0	15534	17975	252	51	13	4	1	5	0	0	0	0	16427	18188	231	44
0	33	1	0	2	0	0	0	0	14935	17703	230	56	17	1	1	5	1	1	0	0	16143	17855	248	43
1	13	3	0	12	0	0	0	0	19331	19387	255	50	17	1	1	4	1	1	0	0	15328	16821	215	50
1	17	3	0	8	1	1	0	0	17131	19719	240	43	13	5	1	6	0	0	0	0	16312	17570	206	52
1	78	4	1	9	0	0	0	0	17983	18340	230	52	18	0	0	3	1	0	1	0	13974	16405	183	49
0	16	2	0	5	1	1	0	0	16842	18443	221	58	16	4	1	6	0	0	0	0	17101	19444	247	64
0	22	2	1	9	0	0	0	0	17569	17101	212	40	11	2	0	6	0	0	0	0	15841	17839	180	56
0	15	5	0	5	1	0	1	0	15882	16956	241	48	15	2	1	5	1	1	0	0	15408	16563	207	36
0	19	2	1	9	0	0	0	0	17049	17241	202	41	17	2	0	3	0	0	0	0	15186	16913	204	58
0	40	4	0	1	0	0	0	0	13556	16451	200	48	17	5	1	7	1	1	0	0	17402	18757	253	52
0	13	1	0	1	0	0	0	0	14692	18342	227	47	17	1	1	3	1	1	0	0	17065	19934	250	76
1	15	2	0	8	1	1	0	0	17000	16417	204	49	14	5	1	7	0	0	0	0	16782	16621	209	55
1	31	2	1	6	0	0	0	0	17200	18984	235	59	20	1	0	4	0	0	0	0	14992	17055	215	40
0	44	2	0	5	1	1	0	0	15409	18408	217	64	17	4	1	7	0	0	0	0	16849	18781	241	52
0	27	2	0	10	1	1	0	0	17283	16235	184	36	14	5	1	12	0	0	0	0	18128	17978	208	68
0	16	0	0	5	0	0	0	0	15477	15965	173	47	12	3	1	9	1	1	0	0	18112	18659	241	43
1	54	4	0	6	2	1	1	0	16763	18897	224	51	37	3	1	1	0	0	0	0	13946	16483	207	56
1	13	3	0	9	2	1	1	0	18434	20263	223	70	16	2	1	5	0	0	0	0	15622	17766	226	55
0	17	3	0	1	0	0	0	0	13731	16666	218	44	24	4	1	6	1	1	0	0	17595	19425	263	48
1	14	2	0	5	1	1	0	0	17251	19984	233	76	16	2	1	6	0	0	0	0	16917	19029	230	60
1	12	2	1	7	1	1	0	0	17051	18864	246	44	16	0	0	6	0	0	0	0	15142	16428	196	40
0	14	1	1	7	0	0	0	0	16346	18557	209	44	33	1	0	7	0	0	0	0	16692	18915	182	67
1	24	3	1	14	0	0	0	0	21095	21242	249	67	13	5	0	4	1	1	0	0	15293	15846	186	44
1	14	1	1	6	1	1	0	0	16434	18641	228	47	12	2	0	4	0	0	0	0	15349	17593	220	48
0	36	2	1	4	1	1	0	0	15834	18362	197	56	16	1	0	11	0	0	0	0	18217	20169	182	59
1	40	7	0	8	1	0	1	0	16968	18900	214	45	25	4	1	9	0	0	0	0	16662	17005	208	33
